,StockRow,Stock#,intercept,slope,standard_error,t_stat_car,car_value,eve_win_size
0,86,258,-0.00012968890380675197,0.49062389275498414,0.013129262325569472,0.9048036959989176,0.06311737100315153,21
0,87,261,-0.00025241059607663304,0.7475953176802425,0.014121809502589087,-0.36619786331243137,-0.029666290775074607,21
0,88,264,0.0004583855853189659,0.8241814217897259,0.015232141614632915,0.19115841957417812,0.01914397072147029,21
0,89,267,0.00032607064083280905,0.517805258450948,0.013584419266204663,-0.6020864073587245,-0.04278959191560776,21
0,90,270,8.57189997193592e-05,0.4646270517946283,0.014574600174256738,0.58500512028469,0.04767187793560099,21
0,91,273,0.00019193168708019786,0.5501873554296781,0.01623938558385711,0.16637637412026676,0.008432096380547878,21
0,92,276,0.0003890226496652226,0.5157712237367584,0.014553746542209093,-0.9285505410492306,-0.0818307425829225,21
0,93,279,-0.00034924258712320437,0.591999998980645,0.01552255168251125,-0.6246420116309643,-0.034244803927089715,21
0,94,282,-0.0004745094486294851,0.6508067683848284,0.016585626555494833,-0.004198528368580058,-0.0003551683460907031,21
0,95,285,0.0011173738410090127,1.3055667314315744,0.01460916832828978,-0.29789150695629485,-0.03821702666647827,21
0,96,288,0.00010924382710157996,1.2780979374213648,0.017831070950629416,1.3364670297637347,0.08604055592351922,21
0,97,291,2.7165854923240845e-05,1.2670657876761109,0.0177292388614461,0.8866070481085181,0.061293256342567576,21
0,98,294,0.00018355763173856228,1.1427652773945385,0.023034346527238216,-0.44152862946404337,-0.0404641508370588,21
0,99,297,0.00015697774280267265,1.1523349191873478,0.023233106991225303,2.1435024072949425,0.17977284784061376,21
0,100,300,0.0031816741933607664,0.8221676696969247,0.01897474073105585,-0.8556583012199757,-0.07800788805450755,21
0,101,303,0.0013669947042364494,0.6281369627889917,0.01550416351934287,0.8769493312064411,0.06955987305057862,21
0,102,306,0.00022972376662639185,0.34691078077413817,0.01404040193924967,0.2717033080196825,0.021447306617010053,21
0,103,309,0.0010825011070761481,0.560005517587568,0.015282416460020803,0.8705101280800991,0.048811857557223046,21
0,104,312,0.00033423277925612106,0.4688891447564536,0.017630985048083303,1.0319884598911988,0.07762016665426939,21
0,105,315,-0.00010754351114378028,0.5090454345500375,0.018163011919071555,2.4014083464511735,0.13395665617102007,21
0,106,318,0.00013559675621272274,0.6585233567039266,0.01945140668719112,-0.2802078721818352,-0.03228240410581638,21
0,107,321,0.00013566525692900388,0.7005182616667771,0.019256297799382784,-0.13896470039544515,-0.01502987944022979,21
0,108,324,-0.00041078014910415656,0.18325737079294985,0.014827196108969107,-0.4123138025156157,-0.031956996173096795,21
0,109,327,-0.0007158333307406238,0.5058762447340368,0.016225176732274096,0.9325275219013568,0.0892872459910302,21
0,110,330,-2.5563436762223867e-05,0.5194660972502019,0.017488308729885837,0.8747807867322976,0.06228475829994764,21
0,111,333,0.0003815503351914517,0.5427352130713696,0.017468178128274114,0.4160380752521059,0.03515462099192723,21
0,112,336,0.0010945438284647579,1.0744946048649973,0.020884420309008233,-0.6394293222394415,-0.07364132584523453,21
0,113,339,0.0013997731044622726,1.0195630673831175,0.020733999144823746,-0.7896450150100728,-0.07452441811616098,21
0,114,342,0.0001390382989557129,0.9038335128677555,0.02289271052148898,-0.10374202201051168,-0.011478205326872087,21
0,115,345,0.0006577655441197876,0.6788832697105082,0.015913950796019184,-0.9089645502813837,-0.05795815542025619,21
0,116,348,-0.0016438197006011924,1.1385156865747046,0.017076665448341504,0.8207530868711085,0.060903939464908075,21
0,117,351,0.0007802390953385579,0.6254697345911993,0.01616470676373915,-0.27830045733377934,-0.025295787509829658,21
0,118,354,0.0014863384252034903,0.6424234118039388,0.017246049191862796,-0.4275172017586225,-0.026470451890088707,21
0,119,357,0.0018195189436069556,0.6311059546347733,0.016912734461351667,0.32567076472043527,0.017518010763205888,21
0,120,360,0.0018949056934629326,0.658237067843116,0.016490009989142015,-0.3459037248287254,-0.027684890334890057,21
0,121,363,-0.001855757836690703,0.8467740128006231,0.02102356332298123,0.8346221794867872,0.07162441640286389,21
0,122,366,4.946928889523587e-05,0.2817557351500344,0.015560677866365606,0.6612873797597806,0.05537154174525355,21
0,123,369,-0.0014903049950995022,0.4502112979790681,0.021592138812009734,0.853885072716038,0.0953195992335262,21
0,124,372,0.0017498199498526246,0.6568995146000002,0.02205251009204912,-1.2554098376564629,-0.12748220392826567,21
0,125,375,0.0007779765110186626,0.6069653399392763,0.021917625170053388,-0.38542728742697463,-0.019081909691997054,21
0,126,378,0.0020125927711616975,1.734141449685146,0.019287159126371946,-0.2295356344800962,-0.03801477276733342,21
0,127,381,0.001591854328864299,1.7036599356921538,0.01923787157752217,0.6326449478805329,0.07068850638861165,21
0,128,384,0.00042781290291366513,1.5469130246682647,0.02281120186899403,0.5357010244391229,0.04400738326689625,21
0,129,387,0.0005714053558671217,1.4952729904060982,0.024902740263839887,-0.7831371854922108,-0.0746425863778894,21
0,131,393,0.002547072177136096,0.5079726346865567,0.07950131847591763,-1.278792169052521,-0.2627107684410891,21
0,132,396,0.0030346306781864982,0.26938457808946964,0.08165725877036466,-1.1336266030480069,-0.22309109239766142,21
0,133,399,0.0024906026822070354,0.8579330829823683,0.031037436800718635,-1.0953509157778283,-0.11997211168881369,21
0,134,402,0.0025103827522469854,0.9200176591804637,0.031475471840947136,0.033982758205464356,0.004276615507929574,21
0,135,405,0.004877987093566837,0.2876813045332412,0.027374353381006713,-1.2388460479313488,-0.2136186992084992,21
0,136,408,0.003730611455436615,0.339828507777371,0.026546094466795365,0.5785801967359793,0.1096623999404984,21
0,137,411,0.0028952530248344387,0.22350994867843116,0.025584725461322493,1.759327728248368,0.3477037289164669,21
0,138,414,0.0014976429952950998,0.5151577304597688,0.025901416104463556,-0.2498933697763436,-0.03277430100330081,21
0,139,417,0.0002360038221286946,0.49339190454028886,0.024752467993470632,0.4772021884238627,0.06847260527586048,21
0,140,420,0.0005389609781917171,0.5095748305679024,0.02457724403597836,-1.7027938916622425,-0.11837021559582765,21
0,141,423,0.00027441137323933355,0.4704667498709405,0.02375023736025425,0.8684616171937096,0.11540574691851639,21
0,142,426,-0.0005662172002974992,0.47574867230292195,0.02239261628378243,1.3634401176821807,0.19197900034361035,21
0,143,429,8.022327074770343e-05,0.6274776942687833,0.01840189243135945,-0.4375064594825763,-0.04681816163169027,21
